Total DV: 13944.823
 Stage              Epoch               X(m)               Y(m)               Z(m)      VX(m/s)      VY(m/s)      VZ(m/s)    DV(m/s)   TOTAL_DV    ID
     4        60901070.34     166314229874.0     239442556114.8       6212943254.0   -17789.666    14082.794     -383.969     651.31    5649.16 66336
     5        65899394.84      68507152805.6     292951891808.1       3838000264.9   -20865.352     7203.577     -534.367      25.23    5674.39 83094
     6        79960358.26    -217243260722.4     259843129603.9      -6456258238.1   -16998.157   -10336.353     -652.582     381.99    6056.38 66482
     7        82926336.02    -262890473236.9     225758052424.6      -7896394302.4   -14191.104   -12641.642     -449.645     481.27    6537.65 65859
     8        89598188.99    -336403704365.8     127957354553.8      -9800841362.2    -7927.054   -16260.351     -194.577     226.43    6764.08 75929
     9       114908220.77    -240779274183.1    -283787023116.6      -2515047136.6    14137.605   -11098.603      480.470     597.24    7361.32 53658
    10       120642462.93    -147472687466.5    -335570122700.1      -2370227319.6    17638.414    -6591.855       43.777     757.75    8119.08 82499
    11       130633533.97      41404738140.0    -352364707484.1      -2078120936.1    19215.380     3422.125       61.238     109.71    8228.79 77261
    12       140425869.39     215159052100.8    -267413205837.7      -3921774009.6    15222.368    13404.842     -135.296     516.84    8745.63 81351
    13       154795509.60     338039082710.0      -7300132353.3      -4888022616.7      786.204    20609.056       52.259     118.29    8863.92 83191
    14       166746034.74     267286794793.0     223888132096.1      -4269752671.3   -11844.515    16416.407      142.786     255.62    9119.54 42583
    15       190288441.03    -135740684640.8     371004342264.2       1340534415.8   -17607.521    -4239.155      263.321     230.28    9349.82 82565
    16       207419937.96    -366794358458.8     194121958642.5       3379001091.1    -8509.901   -14765.679       72.595     468.60    9818.41 64666
    17       218006694.55    -422032288787.0      19885720740.5       2269917683.5    -1335.928   -17216.864     -130.220     617.89   10436.30 47805
    18       231433660.78    -374720368865.2    -202555711131.5        259970307.5     8165.659   -15053.253     -160.853       7.41   10443.72 55894
    19       248149571.74    -162924637889.2    -388565969095.3      -1429309032.6    16228.848    -6174.997      -87.979      99.35   10543.07 53230
    20       263415308.12      95979247857.9    -395917877848.0       -299418455.9    16810.442     5389.548       84.081     433.05   10976.12 80729
    21       270438496.30     207423742719.5    -340186674481.9        982741363.6    14629.869    10538.563      178.505     164.88   11141.00 66331
    22       275097117.09     271939594815.1    -284810762488.1       1240202318.9    12590.462    13409.488       49.466     449.65   11590.65 66828
